NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA/HORA;HORA REAL;DATA;DATA-HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LONG DEC;LAT DEC;LOCAL;VF;FER.;DES.;N:DE INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
NALLE;1;DLANGR;DLANGR;BRASIL;2,8;7,92;06/JAN/2019  12:50;9:50;06/JAN/2019;061250P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;NAS PROXIMIDADES DE TANGUÁ, ANGRA DOS REIS - RJ;0;0;0;3810496294;FIBRA;
CIELO 04;3;CPCEIO;CPCEIO;BRASIL;1,0;12,0;01/JAN/2019  00:20;21:20;01/JAN/2019;010020P/JAN/2019;FLUTUANTE;INTERIOR;CARGA;SEM PROPULSÃO;INCÊNDIO;;;Praia de Ponta Verde, Maceió - AL;0;0;0;2412235376;FIBRA;
ALLIANZ;8;CPFTPR;CPFTPR;BRASIL;0,8;5,5;10/JAN/2019  00:00;22:00;10/JAN/2019;100000O/JAN/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,28111111;-49,07000000;Rio Paranapanema, Reservatório do Jurumirim, município de Itaí-SP, na posição Lat 23:16' 52”S e Long 049:04' 12”W;0;0;1;4054138918;ALUMÍNIO;
LARAH I;2;CPSALV;CPSALV;BRASIL;3,88;7,78;03/JAN/2019  09:30;6:30;03/JAN/2019;030930P/JAN/2019;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;AVARIA DE MÁQUINAS;-13,28527778;-38,72472222;Nas coordenadas Lat. 13:17'07.2'' S e Long. 038:43'29.96'' W, 10 MN a  Sudeste da Ponta do Garcia, Jaguaripe-BA;0;0;0;281-891922-3;FIBRA;
MAIA BORGES;4;CFAREM;CFAREM;BRASIL;MIÚDA;5,0;01/JAN/2019  17:30;14:30;01/JAN/2019;011730P/JAN/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Rio Tapajós, município Santarém-PA;0;0;0;023M2017000082;ALUMÍNIO;
CIDADE DO RIO DE JANEIRO;1;CPMCAE;CPMCAE;BAHAMAS;146,575;310,50;02/JAN/2019  10:10;8:10;02/JAN/2019;021010O/JAN/2019;PLATAFORMA;CABOTAGEM;OUTRA ATIVIDADE OU SERVIÇO;SEM PROPULSÃO;ÁGUA ABERTA;-22,85861111;-40,35861111;"Bacia de Campos - Campos dos Goytacazes - RJ - coordenada  geográfica de Latitude 22:51'31.18''S e Longitude 040:21'31.41""W""";0;0;0;381E004821;AÇO;
LETS ROCK;8;DLTIAO;DLTIAO;BRASIL;4,11;8,7;02/JAN/2019  17:00;14:00;02/JAN/2019;021700P/JAN/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;PROXIMIDADES DA PRAIA DE BARRA DO UNA - SÃO SEBASTIÃO/SP;0;0;0;4039141687;FIBRA;
CARRARA - ROUGE ONE;8;DLTIAO;DLTIAO;BRASIL;MIÚDA;3,37;02/JAN/2019  17:00;14:00;02/JAN/2019;021700P/JAN/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;PROXIMIDADES DA PRAIA DO LÁZARO - UBATUBA / SP;0;0;0;401M2017008622;FIBRA;
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;7,0;06/JAN/2019  05:00;2:00;06/JAN/2019;060500P/JAN/2019;CANOA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;Rio Tapajós, município Santarém-PA;0;0;1;NÃO INSCRITA;MADEIRA;NÃO POSSUI
SISTAC ESPERANÇA;1;CPRIOJ;CPRIOJ;BRASIL;130;25,01;01/JAN/2019  11:30;9:30;01/JAN/2019;011130O/JAN/2019;BARCO;APOIO MARITIMO;CARGA;MOTOR;INCÊNDIO;;;Estaleiro Mac Laren, Ilha da Conceição, Niterói-RJ;0;0;0;3813876934;ALUMÍNIO;
