Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
01_2020;;1;CPVITO;CPVITO;BRASIL;43;16;01/JAN/2020;09:00;BALSA;APOIO MARITIMO;CARGA;SEM PROPULSÃO;ACIDENTES COM PESSOAS EM GERAL A BORDO;-20,31833333;-40,30000000;0;1;0;3410388184;AÇO;
01_2020;SEM NOME;7;CPFBRA;CPFBRA;BRASIL;A SER APURADO;A SER APURADO;02/JAN/2020;0:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-16,75972222;-47,95750000;1;0;0;A SER APURADO;ALUMÍNIO;
02_2020;PARDELA;1;CPMCAE;CPMCAE;BRASIL;3449;76;09/JAN/2020;22:15;SUPPLY;APOIO MARITIMO;CARGA;MOTOR;ACIDENTE DE MERGULHO;-22,36666667;-22,36666667;1;0;0;381E010848;AÇO;
01_2020;ALMIRANTE ALFREDO ZANYS - SÃO SEBASTIÃO I;9;CFPVEL;AGHMTA;BRASIL;335;25,55;01/JAN/2020;13:00;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-6,223611111;-62,23527778;0;0;0;10211527;MADEIRA;A SER APURADO
02_2020;SEM NOME;2;CPSALV;CPSALV;BRASIL;NÃO INSCRITA;A SER APURADO;01/JAN/2020;12:30;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;EMBORCAMENTO;-12,51888889;-48,36472222;2;0;0;NÃO INSCRITA;ALUMÍNIO;
01_2020;ESTRELA DO LAGO;7;CFATOC;CFATOC;BRASIL;69;13,8;01/JAN/2020;15:00;OUTRAS EMBARCAÇÕES;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-10,18638889;-48,36472222;0;0;0;5240010099;AÇO;
05_2020;ILHAS JET;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;3,37;05/JAN/2020;14:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPOR A RISCO;-27,00527778;-48,61000000;0;0;0;221M2011005145;FIBRA;
05_2020;DOS ANJOS - BIONICA DE MARÉ;2;CPSALV;CPSALV;BRASIL;8;7,90;11/JAN/2020;13:30;SAVEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-12,75527778;-38,62472222;0;0;0;2818900077;FIBRA;
07_2020;TEMPESTADE;5;DCPJAI;DCPJAI;BRASIL;0;3,4;11/JAN/2020;22:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-27,2025;-49,01388889;0;0;0;443M2011005508;FIBRA;
05_2020;SANTHOMÉ - GERMON;1;CPRIOJ;AGPRTI;BRASIL;NÃO INSCRITA;A SER APURADO;09/JAN/2020;0:30;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,24027778;-44,61361111;0;1;0;NÃO INSCRITA;FIBRA;
03_2020;14 DE JUNHO II;1;CPVITO;CPVITO;BRASIL;MIUDA;3,95;10/JAN/2020;17:13;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-20,69694444;-40,41333333;0;0;0;341M2001028771;ALUMÍNIO;
03_2020;KATRAKA II;1;CPMCAE;CPMCAE;BRASIL;2;6,6;05/JAN/2020;13:50;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;0;3826671279;FIBRA;
01_2020;ML & CIA;1;DLRUCA;DLRUCA;BRASIL;2,96;7;02/JAN/2020;13:20;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,98166667;-44,08583333;0;1;0;3810522244;FIBRA;
5_2020;BLACK DIAMOND;1;DLCABO;DLCABO;BRASIL;95;21,20;11/JAN/2020;13:00;BARCO;INTERIOR;PASSAGEIRO;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-22,88527778;-42,00972222;0;1;0;2610110090;FIBRA;
01_2020;RIO JARACATIÁ - RIO JARACATIÁ I;8;CPFOZU;CPFOZU;BRASIL;A SER APURADO;A SER APURADO;14/JAN/2020;13:45;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-25,58555556;-53,27888889;0;0;0;9610103324;AÇO;
03_2020;CITY XII;9;CFPVEL;CPVEL;BRASIL;39;18;10/JAN/2020;11:16;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-8,715555556;-63,92694444;0;0;0;10194304;AÇO;
02_2020;KAIMANZINHO - MAANAIM IV;9;CFPVEL;AGIRIM;BRASIL;16,70;13,02;07/JAN/2020;12:00;CHATA;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-13,48416667;-61,04666667;0;0;0;40034402;AÇO;
01_2020;BELLA COSTA;8;CPAGUA;CPAGUA;BRASIL;13,8;11,70;06/JAN/2020;18:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-25,84416667;-48,58111111;0;0;0;3810359009;FIBRA;
