Nº DE IAFN;NOME;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG EM DEC;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
01_2021;SAMBACA;CPFPOL;CPFPOL;BRASIL;0;6,05;15:34:00;03/jan/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ÁGUA ABERTA;-27,42138889;-48,475;0;0;4430107084;FIBRA;
01_2021;ALCA;DLSFSL;DLSFSL;BRASIL;5,02;8,63;06:32:00;01/jan/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ENCALHE;-26,19444444;-48,59166667;0;0;4039127340;FIBRA;
01_2021;GIL & MOG;CFATOC;CFATOC;BRASIL;0,38;5,5;15:30:00;02/jan/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-9,75694444;-48,37388889;0;0;5240006814;ALUMÍNIO;
01_2021;SEM NOME;DLHEUS;DLHEUS;BRASIL;NÃO INSCRITA;4,9;19:00:00;03/jan/21;CANOA;INTERIOR;ESPORTE E RECREIO;REMO;QUEDA DE PESSOAS NA ÁGUA;-14,60861111;-46,92222222;0;0;NÃO INSCRITA;ALUMÍNIO;
01_2021;ANNA KAROLINE I;CPBLEM;CPBLEM;BRASIL;32;14,6;A SER APURADO;A SER APURADO;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;1,16666667;-46,97583333;1;0;1630041211;MADEIRA;NÃO POSSUI
01_2021;HYDRA;DLANGR;DLANGR;BRASIL;0;6,3;14:20:00;03/jan/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,01638889;-44,4525;0;0;3410232435;FIBRA;
03_2021;ATLANTA I;DLTIAO;DLTIAO;BRASIL;11,6;10,6;18:00:00;02/jan/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,72527778;-45,27694444;0;0;2810238995;FIBRA;
01_2021;ROTA 22;CFJUAZ;AGBJLP;BRASIL;0;7;19:30:00;03/jan/21;CANOA;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-14,35444444;-43,78916667;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
02_2021;JOEY II - SEM NOME;DLANGR;DLANGR;BRASIL;0;9,8;15:30:00;05/jan/21;LANCHA;CABOTAGEM;PASSAGEIRO;MOTOR;ABALROAMENTO;-23,20416667;-44,5;0;0;3868895230;FIBRA;
02_2021;Deus é Amor II;CFPVEL;CFPVEL;BRASIL;175;28,2;02:05:00;10/jan/21;BARCO;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-8,76972222;-63,91;0;1;31150748;MADEIRA;NÃO POSSUI
02_2021;TRANSGLOBAL III;CPSTNA;CPSTNA;BRASIL;63;24;12:00:00;10/jan/21;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;INCÊNDIO;-0,0075;-51,20277778;0;0;001-021649-9;AÇO;
03_2021;DEL MAR II;CPMCAE;AGSJBA;BRASIL;6;4,8;12:00:00;10/jan/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-21,63;-41,04916667;0;0;387M2005000585;FIBRA;
