Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
01_2022;BRISA EL SHADAY;5;CPGRAN;CPGRAN;BRASIL;86;18,08;6:30;02/JAN/2022;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIROS;MOTOR;COLISÃO;-32,02944444;-52,09583333;0;1;0;2810271101;FIBRA;;
01_2022;ANA  JULIA;1;DLANGR;DLANGR;BRASIL;NÃO INSCRITA;5;21:20;01/JAN/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-23,08638889;-44,21333333;0;0;0;NÃO INSCRITA;FIBRA;;
01_2022;ESTRELA DO AMANHÃ I;5;CPFPOL;CPFPOL;BRASIL;7,5;10621;16:00;02/JAN/2022;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-27,42722222;-48,47805556;0;0;0;4010829991;FIBRA;;
01_2022;NEW TROVÃO -  SEM NOME;1;CPRIOJ;CPRIOJ;BRASIL;182;28;0:40;04/JAN/2022;REBOCADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-22,86250000;-43,11416667;0;0;1;3813879631;AÇO;;
02_2022;SANTANA  14;1;CPRIOJ;CPRIOJ;BRASIL;0;3,56;17:30;04/JAN/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-22,94555556;-43,15027778;0;1;0;384M2015001050;FIBRA;;
01_2022;SEM NOME;1;CPMCAE;CPMCAE;BRASIL;NÃO INSCRITA;3;15:25;04/JAN/2022;VELEIRO;INTERIOR;ESPORTE E RECREIO;VELA;EMBORCAMENTO;-22,52972222;-41,94305556;0;0;0;NÃO INSCRITA;FIBRA;;
01_2022;KAIROS;1;CPVITO;CPVITO;BRASIL;NÃO INSCRITA;5,8;9:00;03/JAN/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-21,05000000;-40,77166667;0;0;0;4215533333;ALUMÍNIO;;
1A/2022;JESUS -  EDL II  - ROTA CAPITOLIO;1;DLFURN;DLFURN;BRASIL;3;6,86;15:00;08/JAN/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;-20,64638889;-46,26527778;10;31;0;4010790351;FIBRA;25/08/2022;
02_2022;SEM NOME;2;CFJUAZ;CFJUAZ;BRASIL;NÃO INSCRITA;6;19:23;01/JAN/2022;BARCO;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-8,99416667;-38,27194444;1;0;0;NÃO INSCRITA;ALUMÍNIO;;
001_2022;O REI DAVI;9;CFINGA;CFINGA;BRASIL;889;46,7;7:00;05/JAN/2022;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;INCÊNDIO;-4,37250000;-70,02722222;0;0;0;10210903;AÇO;20/07/2022;
