Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
01_2023;ANJO   MIGUEL   I -  LARISSA   III;1;DLRUCA;DLRUCA;BRASIL;2;7,53;16:15;01/jan/23;BOTE;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ABALROAMENTO;-22,93333333;-43,88027778;0;0;1;383064594;FIBRA;
01_2023;MACHADINHO    -  FRATERNUS    ZEUS;2;CPSALV;CPSALV;BRASIL;10;8,15;09:50;01/JAN/2023;SAVEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-12,91666667;-38,51888889;0;0;0;2818927102;FIBRA;
02_2023;NOVO   HORIZONTE    II;1;DLANGR;DLANGR;BRASIL;16,2;11,5;6:00;05/JAN/2023;TRAINEIRA;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-23,01666667;-44,30138889;0;0;0;3820081313;MADEIRA;NÃO POSSUI
03_2023;LAR  R;2;CPSALV;CPSALV;BRASIL;3;7,92;14:00;01/JAN/2023;SAVEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-12,75000000;-38,60416667;0;0;0;2818894981;FIBRA;
01-A/2023;SÓ  AMOR;8;CPSANT;CPSANT;BRASIL;3,4;9,07;13:30;02/JAN/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-23,96666667;-46,32472222;0;0;0;4010763302;FIBRA;
02_2023;VITORIOZA;8;DLTIAO;DLTIAO;BRASIL;3,5;7,75;18:30;03/JAN/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO ;-23,51666667;-45,11666667;0;1;0;3820122087;FIBRA;
1F/2023;FRIENDS   I;1;DLFURN;DLFURN;BRASIL;3,2;7,35;19:30;01/JAN/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,58333333;-45,61916667;1;0;0;5210212254;FIBRA;
01_2023;PETROBRAS    47;1;CPMCAE;CPMCAE;PANAMÁ;131,242;330,9;13:45;04/JAN/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,60000000;-40,98972222;0;2;0;387E000992;AÇO;
01_2023;APARECIDA    I;5;DCPJAI;DCPJAI;BRASIL;12,9;11,7;18:38;07/JAN/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ENCALHE;-2,90000000;-48,65750000;0;0;0;4010807873;FIBRA;
01_2023;SEM   NOME;6;CFCUIA;AGFSIN;BRASIL;A SER APURADO;A SER APURADO;5:30;02/JAN/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-14,03333333;-54,92333333;1;0;0;A SER APURADO;A SER APURADO;
02_2023;ALPINA   BRIGGS   LXIX;1;CPMCAE;AGSJBA;BRASIL;2,2;5,8;1:00;07/JAN/2023;BOTE;INTERIOR;PASSAGEIROS E CARGA;MOTOR;NAUFRÁGIO;-21,85000000;-41,01777778;0;0;0;3410238077;ALUMÍNIO;
01_2023;SEM   NOME;7;CFATOC;CFATOC;BRASIL;0;5,5;23:00;08/JAN/2023;CANOA;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;-10,26666667;-48,39694444;0;0;0;A SER APURADO;ALUMÍNIO;
04_2023;COMTE   CRIST ÓVÃ O;1;CPRIOJ;CPRIOJ;BRASIL;4,556;95;23:30;07/JAN/2023;FLUTUANTE;INTERIOR;CARGA;SEM PROPULSÃO;ACIDENTE DE MERGULHO;-22,81666667;-43,09805556;1;0;0;381E007383;AÇO;
03_2023;ILHA  RASA  IV  -  HAND   MADE   LIFE;1;CPRIOJ;AGPRTI;BRASIL;98;19;18:00;04/JAN/2023;ESCUNA;INTERIOR;PASSAGEIROS;MOTOR;ABALROAMENTO;-23,20000000;-44,58250000;0;0;0;3868900047;MADEIRA;NÃO POSSUI
04_2023;RED  BULL   II  - TISO;8;DLTIAO;DLTIAO;BRASIL;2,63;7,3;18:40;07/JAN/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,45000000;-45,14055556;0;0;0;3840170931;FIBRA;
02_2023;UNI ÃO  VI  -  UNI ÃO  III -  UNI Ã O XI;9;CPNAUS;AGITAC;BRASIL;96;18;17:00;08/JAN/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO ;-3,21666667;-58,99972222;0;0;0;10218092;AÇO;
01_2023;SERRA   MORENA;5;CFALEG;CFALEG;BRASIL;278,62;48,15;10:05;04/JAN/2023;DRAGA;INTERIOR;CARGA;MOTOR;COLISÃO ;-5,93333333;-48,39694444;0;0;0;4620240001;AÇO;
01_2023;SOPHIA   E  MARIA;8;CPFOZU;CPFOZU;BRASIL;0;5,9;01:30;11/JAN/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-1,35000000;-25,35750000;0;0;0;402M2019001273;ALUMÍNIO;
03_2023;AR  NO  MAR;8;DLTIAO;DLTIAO;BRASIL;37,2;15,2;17:30;07/JAN/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,80000000;-45,57666667;0;0;0;3822931641;FIBRA;
02_2023;SAPURA    TOP ÁZIO;1;CPVITO;CPVITO;PANAMÁ;18,098;145,97;8:14;10/JAN/2023;SUPPLY;APOIO MARÍTIMO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-21,20000000;-39,97611111;0;0;0;381E010406;AÇO;
03_2023;PAC ÍFICO   V;1;CPMCAE;CPMCAE;BRASIL;46;17,9;5:53;09/JAN/2023;TRAINEIRA;CABOTAGEM;PESCA;MOTOR;COLISÃO ;-22,33333333;-41,70000000;0;0;0;3877052517;AÇO;
03_2023;FPSO   CIDADE   DE  VITORIA;1;CPVITO;CPVITO;BAHAMAS;134,606;337,05;13:18;11/JAN/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;INCÊNDIO;-20,03333333;-39,52555556;0;0;0;7403354;AÇO;
02_2023;MAGNAMAR;1;DLCABO;DLCABO;BRASIL;12;11,95;13:00;14/JAN/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,73333333;-41,90416667;0;0;0;4010592095;FIBRA;
04_2023;CIDADE   DE  CAMPOS   DOS  GOYTACAZES    MV  29;1;CPMCAE;CPMCAE;BAHAMAS;164,16;334,7;3:40;15/JAN/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;MORTE DE PESSOA;-22,95000000;-40,72694444;1;0;0;3826687213;AÇO;
